"./dor_1_wat.out"
Atom,QA
"0 C",0.1718
"1 C",0.7865
"2 C",0.6085
"3 H",-0.0965
"4 H",-0.1075
"5 H",-0.3027
"6 O",-0.9937
"7 O",-0.6676
"8 O",-0.5463
"9 H",0.1506
"10 O",-0.3304
"11 H",0.0604
"12 H",0.2668



"./hm_opt_1_wat.out"
Atom,QA
"0 C",-0.0149
"1 C",0.9355
"2 C",0.6275
"3 H",-0.1045
"4 H",-0.1045
"5 H",-0.2816
"6 O",-0.8786
"7 O",-0.7398
"8 O",-0.5782
"9 H",0.1730
"10 O",-0.3647
"11 H",0.1123
"12 H",0.2185



"./non_1_wat.out"
Atom,QA
"0 C",0.0443
"1 C",0.8889
"2 C",0.6139
"3 H",-0.1179
"4 H",-0.1172
"5 H",-0.3050
"6 O",-0.8382
"7 O",-0.7268
"8 O",-0.5813
"9 H",0.1475
"10 O",-0.3468
"11 H",0.2259
"12 H",0.1125



"./vaz_1_wat.out"
Atom,QA
"0 C",0.1710
"1 C",0.7867
"2 C",0.6059
"3 H",-0.0939
"4 H",-0.1111
"5 H",-0.2967
"6 O",-0.9909
"7 O",-0.6674
"8 O",-0.5461
"9 H",0.1492
"10 O",-0.3310
"11 H",0.0611
"12 H",0.2634



"./vaz_non_1_wat.out"
Atom,QA
"0 C",-0.0575
"1 C",0.9502
"2 C",0.6926
"3 H",-0.1247
"4 H",-0.1262
"5 H",-0.3530
"6 O",-0.7742
"7 O",-0.8016
"8 O",-0.5099
"9 H",0.0996
"10 O",-0.3488
"11 H",0.2736
"12 H",0.0798



